7,33,5,15,47
7,28,13,43,47
7,28,35,34,47
7,28,20,34,47
7,33,17,0,47
7,33,10,15,47
7,33,6,15,47
7,33,29,21,47
7,28,35,44,47
7,33,5,19,47
7,33,17,8,47
7,33,10,34,47
7,33,6,23,47
7,33,29,23,47
7,28,2,23,47
7,33,5,23,47
7,33,17,9,47
7,33,10,46,47
7,33,29,43,47
7,33,5,38,47
7,33,17,15,47
7,45,1,48,47
7,33,5,39,47
7,33,17,19,47
7,45,3,44,47
7,45,1,9,47
7,33,5,44,47
7,33,17,26,47
7,45,4,44,47
7,45,3,39,47
7,45,1,11,47
7,33,17,27,47
7,45,6,48,47
7,33,17,34,47
7,45,16,43,47
7,45,6,8,47
7,45,30,46,47
7,45,16,0,47
7,45,6,15,47
7,45,32,46,47
7,45,30,8,47
7,45,16,15,47
7,45,6,23,47
7,45,49,46,47
7,45,32,8,47
7,45,30,19,47
7,45,16,27,47
7,45,35,44,47
7,45,49,8,47
7,45,32,9,47
7,45,30,23,47
7,45,16,34,47
7,45,42,31,47
7,45,35,11,47
7,45,49,9,47
7,45,32,15,47
7,45,30,27,47
7,45,16,38,47
7,45,42,43,47
7,45,35,19,47
7,45,49,21,47
7,45,32,34,47
7,45,42,46,47
